name,version,description,downloads,ranking
SQLitePCLRaw.core,2.1.11,"SQLitePCL.raw is a Portable Class Library (PCL) for low-level (raw) access to SQLite.  This package does not provide an API which is friendly to app developers.  Rather, it provides an API which handles...
More information","298,779,435",50
log4net,3.0.4,"log4net is a tool to help the programmer output log statements to a variety of output targets.
In case of problems with an application, it is helpful to enable logging so that the problem
can be located. With...
More information","294,493,106",51
Polly.Extensions.Http,3.0.0,Polly.Extensions.Http is an extensions package containing opinionated convenience methods for configuring Polly policies to handle transient faults typical of calls through HttpClient.,"288,959,728",52
OpenTelemetry.Api,1.11.2,OpenTelemetry .NET API,"287,545,405",53
MongoDB.Driver.Core,2.30.0,Core Component of the Official MongoDB .NET Driver.,"286,888,331",54
MediatR,12.4.1,"Simple, unambitious mediator implementation in .NET","284,670,042",55
YamlDotNet,16.3.0,"YamlDotNet is a .NET library for YAML. YamlDotNet provides low level parsing and emitting of YAML as well as a high level object model similar to XmlDocument. A serialization library is also included that...
More information","281,752,281",56
DnsClient,1.8.0,DnsClient.NET is a simple yet very powerful and high performance open source library for the .NET Framework to do DNS lookups,"268,895,873",57
SharpZipLib,1.4.2,"SharpZipLib (#ziplib, formerly NZipLib) is a compression library for Zip, GZip, BZip2, and Tar written entirely in C# for .NET. It is implemented as an assembly (installable in the GAC), and thus can easily be...
More information","266,222,856",58
MongoDB.Driver,3.3.0,Official .NET driver for MongoDB.,"265,880,844",59
FluentValidation.DependencyInjectionExtensions,11.11.0,Dependency injection extensions for FluentValidation,"257,378,547",60
Elasticsearch.Net,7.17.5,"Exposes all the Elasticsearch API endpoints but leaves you in control of building the request and response bodies. 
      Comes with built in cluster failover/connection pooling support.","249,063,994",61
Npgsql.EntityFrameworkCore.PostgreSQL,9.0.4,PostgreSQL/Npgsql provider for Entity Framework Core.,"239,746,809",62
DocumentFormat.OpenXml,3.3.0,"The Open XML SDK provides tools for working with Office Word, Excel, and PowerPoint documents. It supports scenarios such as:

- High-performance generation of word-processing documents, spreadsheets, and...
More information","223,307,128",63
SharpCompress,0.39.0,"SharpCompress is a compression library for NET Standard 2.0/NET 4.8/NET 4.8.1/NET 6.0/NET 8.0 that can unrar, decompress 7zip, decompress xz, zip/unzip, tar/untar lzip/unlzip, bzip2/unbzip2 and gzip/ungzip with...
More information","221,942,214",64
HtmlAgilityPack,1.12.0,"This is an agile HTML parser that builds a read/write DOM and supports plain XPATH or XSLT (you actually don't HAVE to understand XPATH nor XSLT to use it, don't worry...). It is a .NET code library that allows...
More information","221,523,452",65
OpenTelemetry,1.11.2,OpenTelemetry .NET SDK,"219,455,798",66
Hangfire.Core,1.8.18,"An easy and reliable way to perform fire-and-forget, delayed and recurring, long-running, short-running, CPU or I/O intensive tasks in .NET applications. No Windows Service / Task Scheduler required.
Backed by...
More information","218,663,636",67
jQuery,3.7.1,"jQuery is a new kind of JavaScript Library.
        jQuery is a fast and concise JavaScript Library that simplifies HTML document traversing, event handling, animating, and Ajax interactions for rapid web...
More information","210,283,905",68
MongoDB.Libmongocrypt,1.12.0,Libmongocrypt wrapper for the .NET driver.,"201,908,660",69
AutoFixture,4.18.1,"AutoFixture makes it easier for developers to do Test-Driven Development by automating non-relevant Test Fixture Setup, allowing the Test Developer to focus on the essentials of each test case.","199,638,224",70
TimeZoneConverter,7.0.0,"Lightweight library to convert quickly between IANA, Windows, and Rails time zone names.","198,736,768",71
Fare,2.2.1,".NET port of dk.brics.automaton - Project Fare is an effort to bring a DFA/NFA (finite-state automata) implementation from Java to .NET. There are quite a few implementations available in other languages today....
More information","198,242,367",72
prometheus-net,8.2.1,.NET client library for the Prometheus monitoring and alerting system,"197,740,810",73
FluentValidation.AspNetCore,11.3.0,AspNetCore integration for FluentValidation,"197,627,889",74
Swashbuckle.AspNetCore.Annotations,8.0.0,"Provides custom attributes that can be applied to controllers, actions and models to enrich the generated Swagger","196,848,059",75
NJsonSchema,11.2.0,"JSON Schema reader, generator and validator for .NET","195,468,778",76
AWSSDK.SecurityToken,3.7.401.72,The AWS Security Token Service (AWS STS) enables you to provide trusted users with temporary credentials that provide controlled access to your AWS resources.,"194,913,365",77
SQLitePCLRaw.lib.e_sqlite3,2.1.11,"This package contains platform-specific native code builds of SQLite for use with SQLitePCLRaw.  To use this, you need SQLitePCLRaw.core as well as one of the SQLitePCLRaw.provider.* packages.  Convenience...
More information","190,689,985",78
NodaTime,3.2.2,Noda Time is a date and time API acting as an alternative to the built-in DateTime/DateTimeOffset etc types in .NET.,"186,267,718",79
MimeKit,4.11.0,"MimeKit is an Open Source library for creating and parsing MIME, S/MIME and PGP messages on desktop and mobile platforms. It also supports parsing of Unix mbox files.

      Unlike any other .NET MIME parser,...
More information","183,973,258",80
Remotion.Linq,2.2.0,"re-linq Frontend: A foundation for parsing LINQ expression trees and generating queries in SQL or other languages.
Key features:
- Transforms expression trees into abstract syntax trees resemblying LINQ query...
More information","181,035,922",81
Grpc.Core,2.46.6,"C# implementation of gRPC based on native gRPC C-core library.

Note that the Grpc.Core implementation of gRPC for C# is in maintenance mode and will be replaced by grpc-dotnet in the future.
See...
More information","180,252,487",82
Mono.TextTemplating,3.0.0,"Embeddable engine for the T4 templating language, a general-purpose way to generate text or code files using C#","179,717,100",83
StyleCop.Analyzers,1.1.118,An implementation of StyleCop's rules using Roslyn analyzers and code fixes,"179,291,071",84
SQLitePCLRaw.bundle_e_sqlite3,2.1.11,This 'batteries-included' bundle brings in SQLitePCLRaw.core and the necessary stuff for certain common use cases.  Call SQLitePCL.Batteries.Init().  Policy of this bundle: e_sqlite3 included,"176,091,305",85
Google.Api.Gax,4.10.0,Support classes for Google API client libraries,"174,583,105",86
MessagePack,3.1.3,"Extremely Fast MessagePack(MsgPack) Serializer for C# (.NET Framework, .NET 6, Unity, Xamarin).","173,595,780",87
Scrutor,6.0.1,Register services using assembly scanning and a fluent API.,"173,170,773",88
Serilog.Enrichers.Environment,3.0.1,Enrich Serilog log events with properties from System.Environment.,"170,048,086",89
coverlet.msbuild,6.0.4,"Coverlet is a cross platform code coverage library for .NET, with support for line, branch and method coverage.","167,983,650",90
AWSSDK.SQS,3.7.400.123,"Amazon Simple Queue Service (SQS) is a fast, reliable, scalable, fully managed message queuing service. SQS makes it simple and cost-effective to decouple the components of a cloud application.","166,171,324",91
NSubstitute,5.3.0,"NSubstitute is a friendly substitute for .NET mocking libraries. It has a simple, succinct syntax to help developers write clearer tests. NSubstitute is designed for Arrange-Act-Assert (AAA) testing and with...
More information","164,457,620",92
OpenTelemetry.Api.ProviderBuilderExtensions,1.11.2,Contains extensions to register OpenTelemetry in applications using Microsoft.Extensions.DependencyInjection,"164,408,571",93
Grpc.Tools,2.71.0,gRPC and Protocol Buffer compiler for C# projects,"163,242,716",94
Grpc.Net.ClientFactory,2.70.0,HttpClientFactory integration the for gRPC .NET client,"161,646,948",95
SSH.NET,2024.2.0,"SSH.NET is a Secure Shell (SSH) library for .NET, optimized for parallelism.","161,446,524",96
Namotion.Reflection,3.3.0,".NET library with advanced reflection APIs like XML documentation reading, Null Reference Types (C# 8) reflection and string based type checks.","158,142,190",97
Autofac.Extensions.DependencyInjection,10.0.0,"Autofac implementation of the interfaces in Microsoft.Extensions.DependencyInjection.Abstractions, the .NET Framework dependency injection abstraction.","157,969,188",98
CommandLineParser,2.9.1,"Terse syntax C# command line parser for .NET.  For FSharp support see CommandLineParser.FSharp.  The Command Line Parser Library offers to CLR applications a clean and concise API for manipulating command line...
More information","156,709,671",99
WebGrease,1.6.0,"Web Grease is a suite of tools for optimizing javascript, css files and images.","154,702,193",100
NLog.Extensions.Logging,5.4.0,"NLog LoggerProvider for Microsoft.Extensions.Logging for logging in .NET Standard libraries and .NET Core applications.

For ASP.NET Core, check: https://www.nuget.org/packages/NLog.Web.AspNetCore","154,219,977",101
protobuf-net,3.2.46,"Provides simple access to fast and efficient ""Protocol Buffers"" serialization from .NET applications","154,171,964",102
SendGrid,9.29.3,C# client library and examples for using Twilio SendGrid API's to send mail and access Web API v3 endpoints with .NET Standard 1.3 and .NET Core support.,"152,192,443",103
MailKit,4.11.0,"MailKit is an Open Source cross-platform .NET mail-client library that is based on MimeKit and optimized for mobile devices.

Features include:
* HTTP, Socks4, Socks4a and Socks5 proxy support.
* SASL...
More information","150,831,266",104
AWSSDK.Extensions.NETCore.Setup,3.7.400,Extensions for the AWS SDK for .NET to integrate with .NET Core configuration and dependency injection frameworks.,"150,136,211",105
SixLabors.ImageSharp,3.1.7,"A new, fully featured, fully managed, cross-platform, 2D graphics API for .NET","149,851,485",106
MediatR.Contracts,2.0.1,"Contracts package for requests, responses, and notifications","149,051,146",107
Antlr,3.5.0.2,"ANother Tool for Language Recognition, is a language tool that provides a framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a...
More information","148,987,185",108
SkiaSharp,3.116.1,"SkiaSharp is a cross-platform 2D graphics API for .NET platforms based on Google's Skia Graphics Library.
It provides a comprehensive 2D API that can be used across mobile, server and desktop models to render...
More information","148,097,362",109
AngleSharp,1.2.0,"AngleSharp is the ultimate angle brackets parser library. It parses HTML5, CSS3, and XML to construct a DOM based on the official W3C specification.","147,155,089",110
MySqlConnector,2.4.0,"A truly async MySQL ADO.NET provider, supporting MySQL Server, MariaDB, Amazon Aurora, Azure Database for MySQL, Google Cloud SQL, and more.","146,602,807",111
librdkafka.redist,2.8.0,The Apache Kafka C/C++ client library - redistributable,"145,063,506",112
Polly.Core,8.5.2,"Polly.Core is a .NET resilience and transient-fault-handling library that allows developers to express resilience strategies such as Retry, Circuit Breaker, Hedging, Timeout, Chaos and Fallback in a fluent and...
More information","142,362,749",113
Confluent.Kafka,2.8.0,Confluent's .NET Client for Apache Kafka,"140,803,547",114
Nito.Disposables,2.5.0,IDisposable and IAsyncDisposable helper types.,"138,321,545",115
EO.WebBrowser,25.1.22,"EO.WebBrowser is a .NET browser engine based on Google's Chrome project. It packs a full featured browser engine inside .NET DLLs that have zero external dependency. It also offers many advanced features such...
More information","137,626,022",116
MessagePack.Annotations,3.1.3,Attributes and interfaces for .NET types serializable with MessagePack.,"137,151,182",117
EPPlus,8.0.1,A spreadsheet library for .NET framework and .NET core,"136,977,077",118
NEST,7.17.5,"Strongly typed interface to Elasticsearch. Fluent and classic object initializer mappings of requests and 
      responses. Uses and exposes Elasticsearch.Net.","132,261,571",119
NCrontab.Signed,3.3.3,"NCrontab is crontab for all .NET runtimes supported by .NET Standard 1.0. It provides parsing and formatting of crontab expressions as well as calculation of occurrences of time based on a schedule expressed in...
More information","132,239,202",120
Serilog.Enrichers.Thread,4.0.0,Enrich Serilog events with properties from the current thread.,"129,994,129",121
Serilog.Sinks.Async,2.1.0,Asynchronous sink wrapper for Serilog.,"129,932,866",122
MassTransit,8.4.0,"MassTransit provides a developer-focused, modern platform for creating distributed applications without complexity.","129,042,019",123
Selenium.WebDriver,4.30.0,"Selenium is a set of different software tools each with a different approach to supporting browser automation. These tools are highly flexible, allowing many options for locating and manipulating elements...
More information","128,215,403",124
AWSSDK.DynamoDBv2,3.7.406.11,"Amazon DynamoDB is a fast and flexible NoSQL database service for all applications that need consistent, single-digit millisecond latency at any scale.","128,013,502",125
Nito.AsyncEx.Tasks,5.1.2,Common helper methods for tasks as used in asynchronous programming.,"127,821,702",126
Google.Api.CommonProtos,2.16.0,Common Protocol Buffer messages for Google APIs,"122,553,572",127
SQLitePCLRaw.provider.e_sqlite3,2.1.11,"SQLitePCLRaw is a Portable Class Library (PCL) for low-level (raw) access to SQLite.  Packages named 'SQLitePCLRaw.provider.*' (like this one) are 'plugins' that allow SQLitePCLRaw.core to access the native...
More information","122,101,890",128
Swashbuckle.AspNetCore.Newtonsoft,8.0.0,Swagger Generator opt-in component to support Newtonsoft.Json serializer behaviors,"121,939,015",129
Grpc.AspNetCore.Server,2.70.0,gRPC support for ASP.NET Core,"121,745,588",130
OpenTelemetry.Extensions.Hosting,1.11.2,Contains extensions to start OpenTelemetry in applications using Microsoft.Extensions.Hosting,"120,789,279",131
Cake.Tool,5.0.0,The Cake .NET Tool.,"116,004,912",132
WebActivatorEx,2.2.0,"A package that allows other packages to execute some startup code in web apps. This package should be used over the older WebActivator, which was not strong named.","114,516,767",133
AWSSDK.SimpleSystemsManagement,3.7.404.4,Amazon EC2 Simple Systems Manager (SSM) enables you to manage a number of administrative and configuration tasks on your instances.,"114,435,590",134
AWSSDK.SimpleNotificationService,3.7.400.123,"Amazon Simple Notification Service (Amazon SNS) is a fast, flexible, fully managed push messaging service. Amazon SNS makes it simple and cost-effective to push notifications to Apple, Google, Fire OS, and...
More information","114,252,030",135
NetTopologySuite,2.6.0,The NTS Topology Suite is an API for modelling and manipulating 2-dimensional linear geometry. It provides numerous geometric predicates and functions. NTS conforms to the Simple Features Specification.,"112,262,334",136
Serilog.Exceptions,8.4.0,Log exception details and custom properties that are not output in Exception.ToString().,"112,005,537",137
Flurl,4.0.0,"A fluent, portable URL builder. To make HTTP calls off the fluent chain, check out Flurl.Http.","111,199,448",138
AWSSDK.SecretsManager,3.7.400.123,"AWS Secrets Manager enables you to easily create and manage the secrets that you use in your customer-facing apps. Instead of embedding credentials into your source code, you can dynamically query Secrets...
More information","111,083,445",139
NSwag.Core,14.3.0,NSwag: The OpenAPI/Swagger API toolchain for .NET and TypeScript,"111,010,708",140
OpenTelemetry.Instrumentation.AspNetCore,1.11.1,ASP.NET Core instrumentation for OpenTelemetry .NET,"110,941,666",141
SshNet.Security.Cryptography,1.3.0,Cryptographic functions for .NET,"110,514,722",142
Modernizr,2.8.3,"Modernizr adds classes to the <html> element which allow you to target specific browser functionality in your stylesheet. You don't actually need to write any Javascript to use it.
        Modernizr is a small...
More information","110,303,642",143
NLog.Web.AspNetCore,5.4.0,"Integrates NLog as provider for Microsoft.Extensions.Logging, and provides NLog LayoutRenderers to enrich logging output with details from HttpContext.","110,228,894",144
OpenTelemetry.Instrumentation.Http,1.11.1,Http instrumentation for OpenTelemetry .NET.,"109,835,593",145
bootstrap,5.3.3,"The most popular front-end framework for developing responsive, mobile first projects on the web.","109,829,922",146
Refit,8.0.0,The automatic type-safe REST library for Xamarin and .NET,"109,513,818",147
Nito.AsyncEx.Coordination,5.1.2,Asynchronous coordination primitives.,"108,624,150",148
Nito.Collections.Deque,1.2.1,A double-ended queue.,"108,565,865",149
Bogus,35.6.2,"A simple and sane data generator for populating objects that supports different locales. A delightful port of the famed faker.js and inspired by FluentValidation. Use Bogus to create UIs with fake data or seed...
More information","108,294,233",150
MySql.Data,9.2.0,MySql.Data.MySqlClient .Net Core Class Library,"107,646,741",151
Nito.AsyncEx.Context,5.1.2,A single-threaded async-compatible context.,"106,452,771",152
Hangfire.AspNetCore,1.8.18,"ASP.NET Core support for Hangfire, a background job framework for .NET applications.","105,563,138",153
jQuery.Validation,1.21.0,"This jQuery plugin makes simple clientside form validation trivial, while offering lots of option for customization. That makes a good choice if you’re building something new from scratch, but also when you’re...
More information","105,459,016",154
Google.Api.Gax.Rest,4.10.0,Common Protocol Buffer messages for Google APIs,"105,142,714",155
Quartz,3.14.0,Quartz Scheduling Framework for .NET,"104,283,752",156
starkbank-ecdsa,1.3.3,Pure C# implementation of the Elliptic Curve Digital Signature Algorithm (ECDSA) by Stark Bank,"101,763,065",157
Amazon.Lambda.Core,2.5.1,Amazon Lambda .NET Core support - Core package.,"101,500,705",158
prometheus-net.AspNetCore,8.2.1,ASP.NET Core middleware and stand-alone Kestrel server for exporting metrics to Prometheus,"100,220,124",159
OpenTelemetry.Exporter.OpenTelemetryProtocol,1.11.2,OpenTelemetry protocol exporter for OpenTelemetry .NET,"100,150,425",160
Serilog.Sinks.RollingFile,3.3.0,The rolling file sink for Serilog - Simple .NET logging with fully-structured events,"98,937,359",161
Serilog.Sinks.ApplicationInsights,4.0.0,Serilog sink for Application Insights.,"98,534,188",162
BouncyCastle.Cryptography,2.5.1,BouncyCastle.NET is a popular cryptography library for .NET,"98,437,423",163
ClosedXML,0.104.2,"See release notes https://github.com/ClosedXML/ClosedXML/releases/tag/0.104.2 ClosedXML is a .NET library for reading, manipulating and writing Excel 2007+ (.xlsx, .xlsm) files. It aims to provide an intuitive...
More information","98,040,387",164
SixLabors.Fonts,2.1.2,A cross-platform library for loading and laying out fonts for processing and measuring; written in C#,"97,923,885",165
ZstdSharp.Port,0.8.5,Port of zstd compression library to c#,"97,014,100",166
Hangfire.SqlServer,1.8.18,"SQL Server 2008+ (including Express), SQL Server LocalDB and SQL Azure storage support for Hangfire, a background job framework for .NET applications.","93,756,590",167
Unity,5.11.10,This package contains Unity Container and Abstractions libraries as a single package.,"93,133,277",168
Grpc.Auth,2.70.0,gRPC C# Authentication Library,"92,765,017",169
Selenium.Support,4.30.0,"Selenium is a set of different software tools each with a different approach to supporting browser automation. These tools are highly flexible, allowing many options for locating and manipulating elements...
More information","92,228,234",170
Serilog.Sinks.Seq,9.0.0,A Serilog sink that writes events to Seq using newline-delimited JSON and HTTP/HTTPS.,"92,122,074",171
Google.Api.Gax.Grpc,4.10.0,Additional support classes for Google gRPC API client libraries,"91,965,901",172
SpecFlow,3.9.74,"SpecFlow aims at bridging the communication gap between domain experts and developers by binding business readable behavior specifications to the underlying implementation. Our mission is to provide a pragmatic...
More information","91,796,453",173
Serilog.Formatting.Elasticsearch,10.0.0,Serilog sink for Elasticsearch,"91,598,481",174
AspNetCore.HealthChecks.UI.Client,9.0.0,HealthChecks.UI.Client contains some mandatory abstractions to work with HealthChecks.UI.,"91,019,665",175
Polly.Contrib.WaitAndRetry,1.1.1,Polly.Contrib.WaitAndRetry is an extension library for Polly containing helper methods for a variety of wait-and-retry strategies.,"90,440,648",176
ExcelNumberFormat,1.1.0,.NET library to parse ECMA-376 number format strings and format values like Excel and other spreadsheet softwares.,"90,366,787",177
Grpc.AspNetCore.Server.ClientFactory,2.70.0,HttpClientFactory integration the for gRPC .NET client when running in ASP.NET Core,"89,829,352",178
Serilog.Sinks.Elasticsearch,10.0.0,Serilog sink for Elasticsearch,"88,825,474",179
SkiaSharp.NativeAssets.Win32,3.116.1,"SkiaSharp is a cross-platform 2D graphics API for .NET platforms based on Google's Skia Graphics Library.
It provides a comprehensive 2D API that can be used across mobile, server and desktop models to render...
More information","87,349,416",180
Pomelo.EntityFrameworkCore.MySql,8.0.3,Pomelo's MySQL database provider for Entity Framework Core.,"86,973,222",181
SkiaSharp.NativeAssets.macOS,3.116.1,"SkiaSharp is a cross-platform 2D graphics API for .NET platforms based on Google's Skia Graphics Library.
It provides a comprehensive 2D API that can be used across mobile, server and desktop models to render...
More information","86,850,944",182
CommonServiceLocator,2.0.7,The library provides an abstraction over IoC containers and service locators. Using the library allows an application to indirectly access the capabilities without relying on hard references.,"86,546,385",183
NSwag.Annotations,14.3.0,NSwag: The OpenAPI/Swagger API toolchain for .NET and TypeScript,"86,291,593",184
morelinq,4.4.0,"This project enhances LINQ to Objects with the following methods: Acquire, Aggregate (some EXPERIMENTAL), AggregateRight, Append, Assert, AssertCount, AtLeast, AtMost, Await (EXPERIMENTAL), AwaitCompletion...
More information","86,121,605",185
Common.Logging,3.4.1,Common.Logging library introduces a simple abstraction to allow you to select a specific logging implementation at runtime.,"85,935,844",186
Grpc.AspNetCore,2.70.0,gRPC meta-package for ASP.NET Core,"85,484,729",187
K4os.Compression.LZ4,1.3.8,Port of LZ4 compression algorithm for .NET,"84,821,568",188
AspNetCore.HealthChecks.UI.Core,9.0.0,HealthChecks.UI.Core package containing builder and model definitions,"83,518,456",189
SQLitePCLRaw.provider.dynamic_cdecl,2.1.11,"SQLitePCL.raw is a Portable Class Library (PCL) for low-level (raw) access to SQLite.  Packages named 'SQLitePCLRaw.provider.*' (like this one) are 'plugins' that allow SQLitePCLRaw.core to access the native...
More information","82,431,891",190
Twilio,7.9.1,Twilio REST API helper library,"81,609,774",191
IdentityModel.AspNetCore.OAuth2Introspection,6.2.0,ASP.NET Core authentication handler for validating tokens using OAuth 2.0 introspection,"81,351,337",192
Common.Logging.Core,3.4.1,Common.Logging.Core contains the portable (PCL) implementation of the Common.Logging low-level abstractions common to all other Common.Logging packages.,"80,644,149",193
MassTransit.RabbitMQ,8.4.0,"MassTransit RabbitMQ transport support; MassTransit provides a developer-focused, modern platform for creating distributed applications without complexity.","80,523,141",194
Flurl.Http,4.0.2,"A fluent, testable HTTP client library.","80,369,551",195
NSwag.Generation,14.3.0,NSwag: The OpenAPI/Swagger API toolchain for .NET and TypeScript,"78,523,343",196
BouncyCastle.NetCore,2.2.1,a BouncyCastle redist package include .Net Framework and .Net Core/ Standard support,"78,452,998",197
NSwag.AspNetCore,14.3.0,NSwag: The OpenAPI/Swagger API toolchain for .NET and TypeScript,"78,420,943",198
Snappier,1.2.0,"A near-C++ performance implementation of the Snappy compression algorithm for .NET. Snappier is ported to C# directly
      from the official C++ implementation, with the addition of support for the framed...
More information","77,502,616",199
Sentry,5.4.0,Official SDK for Sentry - Open-source error tracking that helps developers monitor and fix crashes in real time.,"76,976,379",200
Duende.IdentityServer,7.2.0,OpenID Connect and OAuth 2.0 Framework for ASP.NET Core,"13,923,714",201
Duende.AccessTokenManagement,3.2.0,Automatic access token management for OAuth client credential flows,"6,351,607",202
Humanizer,2.14.1,"Humanizer meets all your .NET needs for manipulating and displaying strings, enums, dates, times, timespans, numbers and quantities","76,158,569",203
Humanizer.Core.uk,2.14.1,Humanizer Locale Ukrainian (uk),"76,011,593",204
JsonSubTypes,2.0.1,Discriminated Json Subtypes Converter implementation for .NET,"75,978,948",205
Serilog.Expressions,5.0.0,"An embeddable mini-language for filtering, enriching, and formatting Serilog
      events, ideal for use with JSON or XML configuration.","74,664,382",206
Humanizer.Core.fr,2.14.1,Humanizer Locale French (fr),"74,534,304",207
